SIMPLE                           ,                     3301naoki,                     Aaron-GMM,                     Arthur32p,                 Blackberry216,                      Brieloki,                Daniel-jacodev,                   DevJLucasTM,               DevJulioEmanuel,                 EstherAzevedo,                GerasDeveloper,                    Henriwi-MS,                   JessLim2003,                     KauaLemos,                    KpSantiago,                     Luishma34,                   Pri-Holanda,               RafaelSantosS12,                   Ricardolg11,           SabrinaDamascenoDev,                        Sinh-0,               Temporary95Name,                Vitoria-Rabelo,                Wallisonnobrex,                        alvwsk,                  atilacalisto,                      caduteix,                ceciliaabintes,                     eduspicod,                       evyhdev,                  gabreidiasvl,             jardesonmagalhaes,                     joAo-dav1,                     mateus124,               narciso-roberto,                     rgcastrof,                    ruan-raujo,                      vistomia
+:4:abb                          ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
=:1:recursão-padrões-e-conceitos=,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000
*:1:escada                       ,                           ---,100% 65how 025m 018/009ex 100%,000% 00how 001m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 002/001ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:1:binomiais                    ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:2:diagonal                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 001m 002/001ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:2:sufixos                      ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:2:padroes1                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:3:padroes2                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:4:padroes3                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:3:quadrado                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 111m 035/017ex 000%,                           ---,                           ---
*:2:fib1                         ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:2:fib2                         ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:3:santo                        ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:4:bitcoin                      ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
=:1:pilha-e-fila=================,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000
*:2:balanceada                   ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%
*:2:caminhao                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 001m 002/001ex 000%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:3:polonesa                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
